Hoell, Larsson et al: Supplementary Dataset 2;;;;;;;;;;
;;;;;;;;;;
Transcripts: All transcripts annotated to this gene in RefSeq;;;;;;;;;;
Gene size: Base pairs from 5'-most transcript start to 3'-most transcript end;;;;;;;;;;
CCs: Crosslinked clusters (binding sites) with >= 10 reads and 25% T-to-C changes;;;;;;;;;;
Features: Number of binding sites in introns|5'UTR|CDS|3'UTR|non-coding transcript|ambigous;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Gene;Transcripts;Gene size;FUS CCs;Features;EWSR1 CCs;Features;TAF15 CCs;Features;Mutant FUS CCs;Features
ABCB10;NM_012089;42114;3;1|0|1|1|0|0;2;0|0|0|2|0|0;0;0|0|0|0|0|0;2;0|0|1|1|0|0
ABCB7;NM_004299;103028;5;5|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|1|0|0|0
ABCC1;NM_004996,NM_019898,NM_019900,NM_019899,NM_019862;193497;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ABCC2;NM_000392;69200;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABCC4;NM_005845,NM_001105515;281605;7;6|0|1|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABCC5;NM_001023587,NM_005688;98004;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|0|1
ABCD2;NM_005164;68822;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABCD3;NM_002858,NM_001122674;100287;8;8|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
ABCE1;NM_002940,NM_001040876;31521;4;4|0|0|0|0|0;3;1|0|1|1|0|0;0;0|0|0|0|0|0;4;0|0|1|3|0|0
ABCF3;NM_018358;7933;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABCG1;NM_004915,NM_207628,NM_207627,NM_207174,NM_207629,NM_016818;97556;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABHD10;NM_018394;14383;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;3;0|0|0|3|0|0
ABHD12;NM_001042472,NM_015600;96099;2;2|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;2;1|0|1|0|0|0
ABHD13;NM_032859;15841;4;3|0|0|1|0|0;6;0|0|1|5|0|0;3;0|0|1|2|0|0;3;0|0|1|2|0|0
ABHD2;NM_152924,NM_007011;114211;0;0|0|0|0|0|0;4;0|0|0|4|0|0;0;0|0|0|0|0|0;6;0|0|1|5|0|0
ABHD3;NM_138340;53909;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABHD5;NM_016006;31843;2;2|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ABI1;NM_005470,NM_001178124,NM_001178121,NM_001178120,NM_001178125,NM_001178122,NM_001178116,NM_001012750,NM_001012751,NM_001012752,NM_001178119,NM_001178123;114492;10;8|0|0|2|0|0;4;0|0|0|3|0|1;1;0|0|0|1|0|0;5;0|0|1|4|0|0
ABI2;NM_005759;103890;13;12|0|0|1|0|0;6;1|0|0|5|0|0;1;0|0|0|1|0|0;6;0|0|0|6|0|0
ABL1;NM_007313,NM_005157;173795;1;0|0|1|0|0|0;2;1|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ABL2;NM_001168238,NM_001168239,NM_001168237,NM_001168236,NM_005158,NM_001136000,NM_007314,NM_001136001;130358;11;5|0|1|5|0|0;15;2|0|1|12|0|0;0;0|0|0|0|0|0;5;0|0|0|5|0|0
ABLIM1;NM_002313,NM_001003407,NM_001003408,NM_006720;253546;2;2|0|0|0|0|0;1;0|0|0|1|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0
ABP1;NM_001091;8807;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0
ABTB2;NM_145804;207022;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACAA2;NM_006111;30378;3;2|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACACA;NM_198837,NM_198838,NM_198836,NM_198834,NM_198839;324976;10;10|0|0|0|0|0;2;0|0|2|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
ACACB;NM_001093;128829;2;1|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACAD10;NM_025247,NM_001136538;71055;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACAD11;NM_032169;101994;3;3|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACAD9;NM_014049,NR_033426;33625;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACADM;NM_001127328,NM_000016;39313;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACADSB;NM_001609;49378;2;0|0|1|1|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|1|0|0|0
ACAP2;NM_012287;168353;4;2|0|0|2|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACAT1;NM_000019;26634;1;0|0|1|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|1|1|0|0
ACAT2;NM_005891;17099;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACBD3;NM_022735;42044;6;3|0|0|3|0|0;5;1|0|1|3|0|0;3;0|0|0|3|0|0;4;0|0|0|4|0|0
ACBD5;NR_024150,NM_001042473,NM_145698;46926;0;0|0|0|0|0|0;2;0|0|0|0|0|2;0;0|0|0|0|0|0;1;0|0|0|0|0|1
ACBD6;NM_032360;214671;14;14|0|0|0|0|0;5;5|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0
ACIN1;NM_014977,NM_001164814,NM_001164815,NM_001164817,NM_001164816;37050;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;5;2|0|1|2|0|0
ACLY;NM_198830,NM_001096;52094;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|1|1|0|0
ACN9;NM_020186;65171;9;8|0|0|1|0|0;3;3|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACO2;NM_001098;59865;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACOT13;NM_018473,NM_001160094;38033;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|1|0|0|0|0
ACOT7;NM_181865,NM_181866,NM_181864,NM_007274;129495;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACOT9;NM_001037171,NM_001033583;39631;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACOX1;NM_001185039,NM_004035,NM_007292;37924;1;0|0|0|1|0|0;3;0|0|0|3|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACP1;NM_004300,NM_007099,NM_001040649,NR_024080;13414;7;5|0|0|0|0|2;1;0|0|0|0|0|1;4;3|0|0|0|0|1;3;0|0|0|0|0|3
ACSF2;NM_025149;48682;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACSF3;NM_174917,NR_023316,NM_001127214;61916;0;0|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0
ACSL3;NM_004457,NM_203372;82388;8;6|0|1|1|0|0;2;1|0|0|1|0|0;1;0|0|0|1|0|0;5;0|0|0|5|0|0
ACSL4;NM_004458,NM_022977;92058;6;6|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACSS3;NM_024560;177774;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
ACTG1;NM_001614;2829;0;0|0|0|0|0|0;4;0|0|2|2|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACTL6A;NM_004301,NM_178042,NM_177989;25486;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACTN1;NM_001102,NM_001130004,NM_001130005;105244;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0
ACTN2;NM_001103;77789;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACTN4;NM_004924;82844;7;6|0|0|1|0|0;4;1|0|1|2|0|0;2;0|0|0|2|0|0;2;0|0|0|2|0|0
ACTR10;NM_018477;35521;4;3|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|1|0|0|0;2;0|0|1|1|0|0
ACTR1A;NM_005736;23527;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACTR2;NM_005722,NM_001005386;43559;6;3|1|0|2|0|0;0;0|0|0|0|0|0;5;2|0|0|3|0|0;3;0|0|0|3|0|0
ACTR3;NM_005721;68631;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|1|2|0|0
ACTR3B;NM_020445,NM_001040135;95613;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACTR6;NM_022496;23628;3;1|0|1|1|0|0;1;0|0|0|1|0|0;1;0|0|1|0|0|0;5;0|0|3|2|0|0
ACVR1;NM_001105,NM_001111067;139416;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACVR1B;NM_020328,NM_004302,NM_020327;45413;4;3|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ACVR2A;NM_001616;85824;5;5|0|0|0|0|0;4;2|0|0|2|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
ACVR2B;NM_001106;38844;1;1|0|0|0|0|0;3;0|0|0|3|0|0;1;1|0|0|0|0|0;6;0|0|0|6|0|0
ACYP1;NM_001107,NM_203488;10809;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ACYP2;NM_138448;190026;6;6|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAM10;NM_001110;153668;8;6|0|1|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|1|1|0|0
ADAM12;NM_021641,NM_003474;374223;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAM17;NM_003183;66507;4;4|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0
ADAM20;NM_003814;12655;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAM22;NM_004194,NM_016351,NM_021723,NM_021722,NM_021721;262748;9;9|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAM23;NM_003812;174312;4;4|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAM32;NM_145004;177387;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAM9;NR_027878,NM_003816,NR_027639,NR_027638;108275;7;4|0|0|0|0|3;2;1|0|0|0|0|1;0;0|0|0|0|0|0;3;0|0|0|0|0|3
ADAMTS1;NM_006988;9123;2;0|0|0|2|0|0;0;0|0|0|0|0|0;4;0|0|1|3|0|0;3;0|0|1|2|0|0
ADAMTS13;NM_139025,NM_139026,NM_139027,NR_024514;45050;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAMTS14;NM_080722,NM_139155;89637;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0
ADAMTS17;NM_139057;370541;3;3|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAMTS19;NM_133638;278274;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAMTS20;NM_025003;197713;5;5|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAMTS3;NM_014243;287830;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAMTS9;NM_182920;172035;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAMTSL3;NM_207517;385756;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAR;NM_015841,NM_001193495,NM_001111,NM_015840,NM_001025107;45923;3;1|0|0|1|0|1;4;0|0|1|2|0|1;3;0|0|0|2|0|1;6;0|0|1|4|0|1
ADARB1;NM_001112,NR_027672,NM_015834,NM_015833,NR_027674,NR_027673,NM_001160230;151986;6;5|0|0|0|0|1;1;0|0|0|0|0|1;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADARB2;NM_018702;551646;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
ADAT1;NM_012091,NR_036460;24975;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADAT2;NM_182503;27873;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADCK1;NM_001142545,NM_020421;133872;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADCK3;NM_020247;47309;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ADCY1;NM_021116;148590;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADCY10;NM_001167749,NM_018417;104829;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADCY2;NM_020546;433852;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADCY3;NM_004036;100018;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ADCY6;NM_015270,NM_020983;22846;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADCY7;NM_001114;30221;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADCY9;NM_001116;153537;2;2|0|0|0|0|0;3;2|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
ADD1;NM_014190,NM_176801,NM_014189,NM_001119;86206;3;3|0|0|0|0|0;1;0|0|0|1|0|0;2;1|0|0|1|0|0;0;0|0|0|0|0|0
ADD2;NM_001185054,NM_017482,NM_001617,NM_017488,NM_001185055;106160;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADD3;NM_001121,NM_019903,NM_016824;129598;11;8|0|0|3|0|0;4;0|0|0|4|0|0;1;1|0|0|0|0|0;7;0|0|2|5|0|0
ADIPOR1;NM_015999,NM_001127687;17740;3;2|0|0|1|0|0;2;0|0|0|2|0|0;1;0|0|0|1|0|0;3;0|0|0|3|0|0
ADIPOR2;NM_024551;97599;9;5|0|0|4|0|0;3;0|0|0|3|0|0;1;0|0|0|1|0|0;3;0|0|0|3|0|0
ADK;NM_006721,NM_001123;558096;29;29|0|0|0|0|0;7;7|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0
ADNP;NM_181442,NM_015339;40645;12;5|0|5|2|0|0;11;6|0|4|1|0|0;4;1|0|2|1|0|0;5;0|0|4|1|0|0
ADNP2;NM_014913;31317;8;4|0|1|3|0|0;3;1|0|0|2|0|0;3;0|0|1|2|0|0;2;0|0|1|1|0|0
ADO;NM_032804;3724;3;0|0|0|3|0|0;2;0|0|0|2|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
ADPGK;NM_031284,NR_023318,NR_023319;32419;2;1|0|0|0|0|1;1;0|0|0|0|0|1;1;0|0|0|0|0|1;3;0|0|0|0|0|3
ADPRHL1;NM_199162,NM_138430;31580;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADPRHL2;NM_017825;5081;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADRBK2;NM_005160;164398;2;2|0|0|0|0|0;2;1|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
ADSL;NM_001123378,NM_000026;20072;1;1|0|0|0|0|0;0;0|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0
ADSS;NM_001126;43643;10;10|0|0|0|0|0;4;3|0|0|1|0|0;1;1|0|0|0|0|0;4;0|0|0|4|0|0
AEBP2;NM_001114176,NM_153207;82566;8;2|0|0|6|0|0;7;2|0|0|5|0|0;4;0|0|0|4|0|0;4;0|0|1|3|0|0
AEN;NM_022767;10986;2;0|0|0|2|0|0;2;0|0|0|2|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
AES;NM_198970,NM_198969,NM_001130;10057;1;0|0|0|1|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;4;0|0|1|3|0|0
AFF1;NM_001166693,NM_005935;206053;10;6|0|2|2|0|0;5;1|0|1|3|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
AFF2;NM_002025,NM_001169122,NM_001169124,NM_001169123,NM_001169125,NM_001170628;500069;5;4|0|1|0|0|0;3;2|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AFF3;NM_002285,NM_001025108;595322;14;12|0|1|1|0|0;2;1|0|1|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
AFF4;NM_014423;88284;11;7|0|1|3|0|0;20;3|0|3|14|0|0;2;0|0|0|2|0|0;7;0|0|0|7|0|0
AFG3L1P;NR_003228,NR_003227,NR_003226;28208;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AFTPH;NM_001002243,NM_017657,NM_203437;68700;3;3|0|0|0|0|0;2;1|0|1|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
AGAP1;NM_001037131,NM_014914;631385;9;9|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AGAP3;NM_031946,NM_001042535;57698;2;2|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
AGAP5;NM_001144000;23522;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AGAP6;NM_001077665;22182;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AGBL3;NM_178563;149272;2;2|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
AGFG1;NM_001135189,NM_001135188,NM_001135187,NM_004504;89051;16;11|0|2|3|0|0;9;5|0|0|4|0|0;3;1|0|1|1|0|0;3;0|0|1|2|0|0
AGGF1;NM_018046;34849;1;0|0|0|1|0|0;4;0|0|1|3|0|0;3;2|0|0|1|0|0;1;0|0|0|1|0|0
AGK;NM_018238;103132;5;4|0|0|1|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
AGL;NM_000643,NM_000642,NM_000645,NM_000028,NM_000644,NM_000646;73940;4;3|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
AGPAT3;NM_020132,NM_001037553;122360;4;2|0|0|2|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;1|0|1|0|0|0
AGPAT4;NM_020133;144051;7;6|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AGPAT5;NM_018361;53144;9;7|0|0|2|0|0;4;0|0|0|4|0|0;4;3|0|0|1|0|0;4;0|0|0|4|0|0
AGPAT6;NM_178819;46814;2;0|1|0|1|0|0;2;1|1|0|0|0|0;1;0|1|0|0|0|0;1;0|1|0|0|0|0
AGPS;NM_003659;151094;6;6|0|0|0|0|0;4;0|0|0|4|0|0;1;1|0|0|0|0|0;4;0|0|1|3|0|0
AGTPBP1;NM_015239;195491;28;26|0|1|1|0|0;7;7|0|0|0|0|0;3;2|0|1|0|0|0;3;2|0|1|0|0|0
AGTRAP;NM_020350,NM_001040197,NM_001040196,NM_001040195,NM_001040194;14687;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AGXT2L2;NM_153373;24264;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AHCTF1;NM_015446;92325;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AHCY;NM_000687,NM_001161766;31538;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
AHCYL1;NM_006621;39057;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|1|1|0|0
AHCYL2;NM_015328,NM_001130722,NM_001130720,NM_001130723;205198;10;10|0|0|0|0|0;3;3|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0
AHI1;NM_017651,NM_001134832,NM_001134830,NM_001134831;213794;12;12|0|0|0|0|0;5;4|0|1|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0
AHNAK;NM_024060,NM_001620;113317;0;0|0|0|0|0|0;2;0|0|0|0|0|2;0;0|0|0|0|0|0;2;0|0|0|0|0|2
AHNAK2;NM_138420;41104;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AHR;NM_001621;47500;2;1|0|1|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
AHRR;NM_020731;134115;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AIDA;NM_022831;44510;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
AIFM2;NM_001198696,NM_032797;20668;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
AIG1;NM_016108;279419;11;11|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
AIMP1;NM_001142415,NM_004757,NM_001142416;33615;4;4|0|0|0|0|0;0;0|0|0|0|0|0;4;4|0|0|0|0|0;5;3|0|0|2|0|0
AIMP2;NM_006303;14584;1;1|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
AK2;NM_001199199,NM_013411,NR_037591,NM_001625,NR_037592;28972;2;0|0|0|0|0|2;0;0|0|0|0|0|0;1;0|0|0|0|0|1;2;0|0|0|0|0|2
AK3;NM_016282;30070;2;0|0|0|2|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;4;1|0|0|3|0|0
AK4;NM_001005353,NM_013410,NM_203464;84597;4;2|0|0|2|0|0;2;0|0|0|2|0|0;0;0|0|0|0|0|0;5;0|0|0|5|0|0
AKAP1;NM_003488;36158;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
